From,To,Length,Cost,Var
1,49,921.0410139,187.34794,1519.907086
1,65,1179.207157,63.68760446,405.5888748
1,17,620.9053755,88.31140328,158.2556082
2,1289,467.5522935,104.5802632,394.4493451
2,312,730.2875808,84.16722179,220.775614
3,19,1343.253385,94.29624114,417.0823216
3,50,3962.074577,288.4605838,14257.4199
3,35,2157.007237,363.9630096,6794.358079
3,67,2847.913944,200.3312687,2998.239927
4,743,768.4620807,331.028979,2478.703897
4,128,4181.143453,86.44554984,272.2559832
4,20,1538.935186,93.68585448,804.6753383
4,52,2662.134322,601.4050075,108303.194
5,409,443.815225,77.57087848,200.1307726
5,656,121.2443022,32.22337723,59.51013006
6,196,124.7648613,25.44020516,35.14853692
6,621,121.1557126,28.71219829,82.47562393
7,902,180.6695447,16.19471368,15.36210412
7,727,150.5741881,16.17086451,4.975828942
8,212,524.5509497,56.40803402,194.9908815
8,423,674.1569701,53.87989858,153.982277
8,367,521.0576293,61.67457897,543.5305806
8,342,501.773329,78.92025535,480.3116061
9,917,219.1141492,47.44704275,169.0007907
9,889,397.8707718,70.5380046,322.1671773
9,488,262.0547376,43.42740914,85.32784592
10,1768,142.7229606,32.90744178,100.2312838
10,1473,295.7785775,27.77922026,43.67842482
10,1674,231.7111229,76.40000449,323.5205005
11,1654,314.7466556,63.92745754,249.73969
11,793,301.3254122,50.90304022,114.3414329
11,1066,393.3975505,55.19293631,223.6159233
12,216,278.1529173,28.93803602,109.2813808
12,581,239.1655126,33.79149796,38.77529694
13,29,531.5645307,57.13432278,328.3227965
13,384,272.1300849,181.405948,6597.412087
13,91,1229.628076,36.22467145,133.9255899
14,794,430.2623322,36.31705139,99.98393557
14,739,320.8957553,51.22063202,163.6723344
14,204,321.9945508,46.74280183,117.0204693
15,1217,906.1380717,38.44304209,80.60675977
15,764,518.9610531,63.27335598,186.1198944
15,610,436.5838356,72.74191974,439.5465783
16,337,1119.4482,61.63851021,508.8540866
16,311,370.0824554,30.16584299,29.00299828
16,164,503.3719165,119.150437,583.2460025
17,81,921.0410139,96.40483091,607.9226464
17,179,964.822029,142.01545,399.9248501
18,221,1371.854501,89.53492292,1048.39487
18,66,447.9160573,372.9011149,16763.70161
18,50,1933.671041,65.01489863,1286.4085
19,66,643.6417399,58.99283668,132.4932938
19,460,1343.253385,174.6028149,1071.756392
20,128,747.6592605,217.3704602,3407.34773
20,433,2558.887309,195.8201924,2263.641374
20,36,768.4620807,255.9369498,3502.653758
21,467,2397.625728,128.8243118,1551.765405
21,83,1877.861688,107.6864227,745.4558286
21,458,1672.884115,134.8989802,9233.016352
22,1164,792.6168708,48.69386789,134.8183444
22,1655,941.1702069,68.33592632,296.2785562
23,1371,1304.912095,27.84012386,94.62395842
23,1367,297.9644774,36.46383728,61.80966167
23,1231,491.0600093,76.49192773,311.07599
24,290,640.3378561,39.16418878,63.7151697
24,390,126.4330825,71.64713582,442.3336938
24,156,297.4541047,58.42874486,170.3206062
25,744,662.8173793,84.57443283,1046.81249
25,1022,477.2751353,76.91733608,1024.891112
26,713,744.8007551,48.95849796,292.4424013
26,1862,534.7262649,27.11207129,108.8535829
26,813,1087.243613,26.41126041,39.22740528
26,1301,344.9470654,74.04058268,729.1600088
27,1080,233.7971718,18.54108692,25.46434831
27,1817,414.1344437,15.53719682,28.24482987
27,1799,257.6165547,9.058863693,37.04782724
27,1696,120.2890328,17.7481376,8.111313953
28,44,177.9770438,55.95657814,193.8498095
28,333,47.47870099,126.5700441,1481.798387
28,359,55.09816775,335.6002533,4411.133906
28,635,395.6032631,66.7062589,321.7712922
29,119,804.1917262,54.35034645,48.29712287
29,230,1712.154667,208.5637538,7842.028832
30,763,516.7491094,60.88433256,130.8607158
30,1060,531.5645307,20.5598386,9.133223372
30,457,598.1445228,80.05271637,483.1211564
30,564,1158.521852,48.56692596,100.0461292
31,655,471.5487556,35.21790973,43.26755103
31,484,419.311019,36.35636437,305.9775974
31,1127,439.4701222,65.14824106,567.6658292
32,64,248.4815623,82.70286187,841.0137664
32,337,198.6988912,43.49462265,57.48439252
32,285,205.6812406,64.6764264,249.5387735
33,733,358.9538853,157.4759228,223.8799351
33,440,442.5338513,284.0922846,10053.93143
33,65,641.1616517,79.21873282,199.4153618
34,166,421.783258,30.17599884,114.2489569
34,152,1557.607396,101.8451736,1057.9219
34,82,2356.527401,55.05451096,91.89399325
34,194,3932.226913,58.4737437,1643.780815
