From,To,Length,Cost,Var
1,49,921.0410139,174.1864929,7508.433188
1,65,1179.207157,114.2854791,3879.989223
1,17,620.9053755,118.6889259,2814.325118
2,1289,467.5522935,121.4447884,899.8955034
2,312,730.2875808,83.88939703,791.0752626
3,19,1343.253385,134.1110474,10771.34339
3,50,3962.074577,310.3702582,20218.00528
3,35,2157.007237,470.3706185,25764.79803
3,67,2847.913944,229.6580423,3865.827779
4,743,768.4620807,365.1323429,10698.37758
4,128,4181.143453,99.64549224,636.3480106
4,20,1538.935186,72.54859316,291.0063151
4,52,2662.134322,377.2086989,4418.746594
5,409,443.815225,64.9293184,30.5050328
5,656,121.2443022,27.21351187,22.52916898
6,196,124.7648613,34.34868815,301.0587812
6,621,121.1557126,30.11894495,75.52344865
7,902,180.6695447,16.76247846,8.340982878
7,727,150.5741881,17.84171006,8.936307422
8,212,524.5509497,65.94621979,246.9441104
8,423,674.1569701,71.06996248,236.9512474
8,367,521.0576293,71.05172714,369.4414829
8,342,501.773329,90.89248086,395.1044044
9,917,219.1141492,56.37439157,220.1978248
9,889,397.8707718,62.10968024,282.1984957
9,488,262.0547376,54.59681834,280.372581
10,1768,142.7229606,33.60758487,75.12549043
10,1473,295.7785775,30.5648999,87.75612247
10,1674,231.7111229,57.46198618,279.1277047
11,1654,314.7466556,101.1968649,1466.134937
11,793,301.3254122,61.90387624,291.1825626
11,1066,393.3975505,58.05192293,212.0416561
12,216,278.1529173,30.10761005,56.5843603
12,581,239.1655126,35.81628492,102.9017509
13,29,531.5645307,65.72466695,239.7041986
13,384,272.1300849,199.5057802,3733.801023
13,91,1229.628076,50.07856678,227.5176197
14,794,430.2623322,40.9691396,119.8871375
14,739,320.8957553,57.89214991,229.6803598
14,204,321.9945508,50.67359263,98.44648314
15,1217,906.1380717,57.2127578,439.7734662
15,764,518.9610531,68.28981946,236.0791736
15,610,436.5838356,90.45781944,740.3400333
16,337,1119.4482,60.71859014,136.6518394
16,311,370.0824554,44.88601081,177.5517648
16,164,503.3719165,147.4505549,1960.595045
17,81,921.0410139,108.6849126,2058.082497
17,179,964.822029,192.9083762,7203.506136
18,221,1371.854501,86.22124783,1071.08071
18,66,447.9160573,358.5349389,14840.14811
18,50,1933.671041,56.57305908,244.0604185
19,66,643.6417399,68.49883003,254.3781912
19,460,1343.253385,256.3173228,23563.58106
20,128,747.6592605,178.1308219,1143.950197
20,433,2558.887309,175.5458414,12526.14306
20,36,768.4620807,241.9213702,7436.411596
21,467,2397.625728,181.6336677,12283.0905
21,83,1877.861688,111.4573156,1952.387053
21,458,1672.884115,99.40897251,466.8746902
22,1164,792.6168708,53.45498733,204.7360985
22,1655,941.1702069,72.87529384,419.2953963
23,1371,1304.912095,34.35876001,269.1632729
23,1367,297.9644774,27.419989,119.4640279
23,1231,491.0600093,79.27661054,438.5903112
24,290,640.3378561,43.31854793,32.30489497
24,390,126.4330825,88.83019529,372.743935
24,156,297.4541047,69.66554354,233.589805
25,744,662.8173793,90.82845223,3235.972813
25,1022,477.2751353,89.22120939,832.5580545
26,713,744.8007551,47.5972392,189.4727852
26,1862,534.7262649,25.45966647,54.02520868
26,813,1087.243613,27.63097491,91.78570698
26,1301,344.9470654,74.06315215,279.2502709
27,1080,233.7971718,32.27425407,302.652818
27,1817,414.1344437,10.7110664,9.775250941
27,1799,257.6165547,9.056956378,14.95909539
27,1696,120.2890328,30.26440244,548.2927383
28,44,177.9770438,62.06159569,343.2840181
28,333,47.47870099,151.3371978,2111.523877
28,359,55.09816775,273.4495668,8701.560733
28,635,395.6032631,91.92296709,542.2444624
29,119,804.1917262,68.07679067,508.5422604
29,230,1712.154667,157.6973263,1977.153936
30,763,516.7491094,65.74387381,654.7627053
30,1060,531.5645307,28.30500417,128.1961771
30,457,598.1445228,72.81787012,494.7150073
30,564,1158.521852,60.35917361,421.8477458
31,655,471.5487556,40.98747386,65.19643809
31,484,419.311019,34.31418619,18.59682594
31,1127,439.4701222,77.15471201,1281.176369
32,64,248.4815623,62.60606923,147.4466769
32,337,198.6988912,48.06415969,67.84386105
32,285,205.6812406,65.96070438,350.7448734
33,733,358.9538853,357.0570141,121542.9701
