From,To,Length,Cost,Var
1,49,921.0410139,147.9969687,3753.83565
1,65,1179.207157,49.28494096,59.06165444
1,17,620.9053755,91.3037388,616.3901698
2,1289,467.5522935,117.7556373,1620.558533
2,312,730.2875808,81.7101918,345.7584904
3,19,1343.253385,94.70698006,253.9101817
3,50,3962.074577,309.5796594,26745.22287
3,35,2157.007237,387.0526286,17920.65528
3,67,2847.913944,205.8217993,4001.950929
4,743,768.4620807,368.3742053,9616.421244
4,128,4181.143453,82.71882628,247.6379971
4,20,1538.935186,107.702302,1627.95247
4,52,2662.134322,548.713049,81098.65798
5,409,443.815225,69.30808926,571.3685677
5,656,121.2443022,32.36763617,119.2673247
6,196,124.7648613,24.03810267,32.65493938
6,621,121.1557126,24.05442472,52.92036379
7,902,180.6695447,13.94114949,2.240878483
7,727,150.5741881,15.39120638,3.387090897
8,212,524.5509497,52.6643111,53.30381578
8,423,674.1569701,65.93529818,596.8170937
8,367,521.0576293,64.47892881,451.4655495
8,342,501.773329,73.04608223,130.8946253
9,917,219.1141492,42.81129556,101.7258101
9,889,397.8707718,88.56993549,974.8652177
9,488,262.0547376,46.80461229,129.2730478
10,1768,142.7229606,34.9985134,99.33882967
10,1473,295.7785775,28.75801174,70.63244764
10,1674,231.7111229,70.73326943,320.5483049
11,1654,314.7466556,61.17625929,357.1953774
11,793,301.3254122,51.2048615,194.4948014
11,1066,393.3975505,48.42971978,51.18419943
12,216,278.1529173,30.40388913,131.1449568
12,581,239.1655126,29.2007866,23.63891616
13,29,531.5645307,51.56184783,140.4301837
13,384,272.1300849,145.0117826,991.480597
13,91,1229.628076,34.95058162,51.434538
14,794,430.2623322,37.05600981,132.019981
14,739,320.8957553,54.50681788,244.1107239
14,204,321.9945508,45.49591649,328.1439339
15,1217,906.1380717,38.40853504,60.69751129
15,764,518.9610531,61.41164059,170.8757846
15,610,436.5838356,76.91886405,656.9547983
16,337,1119.4482,56.17749692,294.7115983
16,311,370.0824554,31.3911784,36.91374573
16,164,503.3719165,120.1198691,549.8491647
17,81,921.0410139,103.4750656,374.8558641
17,179,964.822029,146.0389624,1116.816652
18,221,1371.854501,78.13206812,141.8853223
18,66,447.9160573,322.851211,12623.78172
18,50,1933.671041,63.28940859,872.833103
19,66,643.6417399,67.40615952,216.1992732
19,460,1343.253385,166.048692,1094.205778
20,128,747.6592605,237.7263059,4720.351598
20,433,2558.887309,142.5816929,1799.026007
20,36,768.4620807,275.1077324,20345.16372
21,467,2397.625728,147.3179445,1221.796991
21,83,1877.861688,108.3964397,708.025966
21,458,1672.884115,125.2478956,4966.97467
22,1164,792.6168708,44.59122585,86.64864919
22,1655,941.1702069,62.21156885,154.5069821
23,1371,1304.912095,28.85245408,156.2597207
23,1367,297.9644774,35.02727847,77.04404346
23,1231,491.0600093,74.58194791,265.5024155
24,290,640.3378561,57.11519546,485.7193419
24,390,126.4330825,82.77797152,683.9043294
24,156,297.4541047,62.4211187,301.9079673
25,744,662.8173793,86.17484825,976.3564746
25,1022,477.2751353,116.8375312,1188.450144
26,713,744.8007551,46.25157209,119.7256083
26,1862,534.7262649,26.04797893,59.47099766
26,813,1087.243613,24.9631063,29.68630871
26,1301,344.9470654,70.69729992,406.3778578
27,1080,233.7971718,18.54815923,16.90436899
27,1817,414.1344437,11.57684951,5.798561056
27,1799,257.6165547,6.28891325,1.038248353
27,1696,120.2890328,18.12029074,5.387404351
28,44,177.9770438,49.78325578,118.2670332
28,333,47.47870099,99.98578131,226.415909
28,359,55.09816775,311.9775058,2338.186946
28,635,395.6032631,70.84080324,352.3227663
