From,To,Length,Cost,Var
1,49,921.0410139,145.8148781,1242.801986
1,65,1179.207157,59.84340479,329.206029
1,17,620.9053755,122.9128959,3046.767546
2,1289,467.5522935,125.6644645,913.3483
2,312,730.2875808,131.4376673,866.6990419
3,19,1343.253385,94.59687766,1400.718839
3,50,3962.074577,349.4327088,8077.880638
3,35,2157.007237,440.2379501,19672.66995
3,67,2847.913944,213.4803423,2076.080096
4,743,768.4620807,380.8781813,4868.987167
4,128,4181.143453,91.52479042,109.454221
4,20,1538.935186,108.6604428,206.1836646
4,52,2662.134322,558.1073411,25312.31488
5,409,443.815225,90.86938736,995.9724329
5,656,121.2443022,25.17089335,8.671164374
6,196,124.7648613,30.15969337,64.60730546
6,621,121.1557126,30.0511467,37.33541708
7,902,180.6695447,16.66707216,11.90813993
7,727,150.5741881,21.55833175,26.71545608
8,212,524.5509497,67.93084917,310.5511682
8,423,674.1569701,72.87667798,882.5724094
8,367,521.0576293,61.58572823,291.2529182
8,342,501.773329,91.58228235,547.118914
9,917,219.1141492,46.41927334,94.44631162
9,889,397.8707718,66.24237148,497.2314809
9,488,262.0547376,56.37583577,163.455638
10,1768,142.7229606,35.33056819,182.5974799
10,1473,295.7785775,41.15637082,239.1563082
10,1674,231.7111229,79.06727188,267.7043027
11,1654,314.7466556,96.0526509,769.9925398
11,793,301.3254122,59.82772193,191.912576
11,1066,393.3975505,69.38389875,551.2599039
12,216,278.1529173,24.95256369,49.24814878
12,581,239.1655126,31.20116006,58.18140205
13,29,531.5645307,66.87444608,656.8932697
13,384,272.1300849,174.2632964,2143.166239
13,91,1229.628076,44.09862654,154.7711618
14,794,430.2623322,42.76225984,160.8946502
14,739,320.8957553,80.14442581,873.9103858
14,204,321.9945508,60.91075872,140.8295938
15,1217,906.1380717,49.387709,427.8995436
15,764,518.9610531,76.62812793,298.399358
15,610,436.5838356,83.56122327,600.1643926
16,337,1119.4482,66.43106078,735.0864899
16,311,370.0824554,35.62769873,33.7382748
16,164,503.3719165,197.3700509,5332.505343
17,81,921.0410139,129.7179209,1262.272461
17,179,964.822029,151.6555018,1568.4411
18,221,1371.854501,96.68328403,748.1328746
18,66,447.9160573,525.7702387,23125.55005
18,50,1933.671041,63.82595469,250.5971698
19,66,643.6417399,70.44348567,770.4776218
19,460,1343.253385,171.7287488,538.749257
20,128,747.6592605,248.3557567,2454.81188
20,433,2558.887309,196.2249272,716.2093302
20,36,768.4620807,328.7453734,14932.78356
21,467,2397.625728,204.6855505,6862.072934
21,83,1877.861688,97.66970597,547.2255357
21,458,1672.884115,178.1375054,9475.184021
22,1164,792.6168708,54.55038791,178.6028325
22,1655,941.1702069,88.23875023,543.7806825
23,1371,1304.912095,25.08539174,83.44694453
23,1367,297.9644774,22.42249741,64.50438459
23,1231,491.0600093,89.46663453,560.7252265
24,290,640.3378561,38.82666894,36.71404917
24,390,126.4330825,125.9074104,2611.853871
24,156,297.4541047,64.15922826,337.6292654
25,744,662.8173793,105.9199417,1078.952009
25,1022,477.2751353,98.90370396,1966.042247
26,713,744.8007551,52.69794083,272.6767296
26,1862,534.7262649,29.06405001,82.69133539
26,813,1087.243613,29.77598046,102.3945628
26,1301,344.9470654,76.20898667,354.5805026
27,1080,233.7971718,32.16811236,212.1223653
27,1817,414.1344437,15.61518875,11.47317457
27,1799,257.6165547,15.50746947,6.28928711
27,1696,120.2890328,31.22596993,153.7154508
28,44,177.9770438,69.15726948,204.8377845
28,333,47.47870099,146.8106497,590.2179113
28,359,55.09816775,289.4879943,1563.177441
28,635,395.6032631,106.1020142,817.7790063
29,119,804.1917262,62.98983298,690.3052748
29,230,1712.154667,226.2125244,1738.138786
30,763,516.7491094,88.60245325,1371.712969
30,1060,531.5645307,25.91809729,30.71943337
30,457,598.1445228,111.4649961,1619.7696
30,564,1158.521852,76.59260692,554.1222004
31,655,471.5487556,46.9072201,259.6275276
31,484,419.311019,39.1597655,102.3454448
31,1127,439.4701222,68.91840934,406.1080581
32,64,248.4815623,54.14147245,225.5776903
32,337,198.6988912,78.05802292,937.8529765
32,285,205.6812406,74.6565865,178.5337281
33,733,358.9538853,164.7115223,53.09357164
33,440,442.5338513,276.2545492,5339.55795
33,65,641.1616517,87.27160667,346.183098
34,166,421.783258,33.09090374,148.3567182
34,152,1557.607396,115.4232067,1718.854168
34,82,2356.527401,58.49771755,149.1495229
34,194,3932.226913,95.21430222,5719.103298
35,751,633.6067313,785.7346755,159765.9197
35,51,824.5702416,256.8917948,4941.117175
36,68,221.4271661,276.6001684,15866.79608
36,52,618.1188471,272.5099475,22896.04676
37,387,3962.074577,66.52255746,226.1925035
37,566,2352.605615,72.82826622,275.0681593
37,674,3705.554474,51.20487202,828.9432921
38,1212,2397.625728,44.65120627,38.37538308
38,908,3382.064279,35.34736368,40.71958561
38,803,3231.919547,86.16026625,1278.555521
39,595,347.1260675,110.4971508,2842.549466
39,315,476.5458367,348.1703994,10813.4395
39,825,290.8539716,43.67640874,56.93901644
40,412,870.2509514,94.91331255,1005.052254
40,390,289.0479444,68.01858225,269.6289953
40,156,525.6174909,75.58402495,110.5975243
41,87,1568.99986,46.84172285,137.5760946
41,143,468.6458284,31.73420071,111.9284541
41,833,534.061291,16.98191041,11.18994954
42,799,868.2777382,255.8423134,8897.681815
42,953,646.8891553,34.74352095,164.6846526
42,1112,713.2862675,33.13789136,48.2273457
43,1877,256.210622,35.00004102,365.4689628
43,643,211.7407755,40.33522535,129.5845186
43,1173,124.1066729,79.88952708,450.0684051
43,1727,848.9314547,79.38032964,2181.701095
44,202,289.5094766,54.62783256,66.47626642
44,572,230.317022,189.1205734,9141.859761
45,269,369.6500203,45.90924734,28.21419684
45,715,429.010321,165.5691914,2786.816543
45,1252,426.6043255,55.14817013,168.3206014
45,147,494.2698699,73.8042417,205.7702672
46,739,395.6032631,44.16158636,274.6281468
46,204,389.6542203,33.17400156,198.8767533
46,1046,766.0010004,28.1677163,351.9249177
46,1246,424.8850094,39.81774994,898.3678039
47,914,684.6502382,42.27333628,308.6683982
47,1026,1020.176889,53.42263056,150.4122618
47,1121,395.8115907,20.26853683,10.32406566
48,233,316.9564225,90.3264132,2600.736249
49,151,437.27896,200.7736542,14973.0244
