origin,destination,source,LET,path_length,diversity_score
22,260,existing_seed,,,
22,268,existing_seed,,,
120,12,existing_seed,,,
168,14,existing_seed,,,
168,78,existing_seed,,,
172,15,existing_seed,,,
401,13,existing_seed,,,
405,66,existing_seed,,,
408,14,existing_seed,,,
411,70,existing_seed,,,
37,13,existing_seed,,,
120,41,existing_seed,,,
209,139,existing_seed,,,
21,270,existing_seed,,,
409,254,existing_seed,,,
414,260,existing_seed,,,
401,262,existing_seed,,,
395,16,existing_seed,,,
415,268,existing_seed,,,
210,256,existing_seed,,,
411,254,anaheim_candidate_50_ods,81,28,1.0
410,15,anaheim_candidate_50_ods,77,28,1.0
415,66,anaheim_candidate_50_ods,75,28,1.0
408,78,anaheim_candidate_50_ods,68,28,1.0
400,12,anaheim_candidate_50_ods,84,27,1.0
412,186,anaheim_candidate_50_ods,82,27,1.0
414,261,anaheim_candidate_50_ods,79,27,1.0
390,257,anaheim_candidate_50_ods,69,27,1.0
251,257,anaheim_candidate_50_ods,68,27,1.0
410,70,anaheim_candidate_50_ods,67,27,1.0
409,255,anaheim_candidate_50_ods,66,27,1.0
396,16,anaheim_candidate_50_ods,65,27,1.0
390,68,anaheim_candidate_50_ods,63,27,1.0
251,68,anaheim_candidate_50_ods,62,27,1.0
209,255,anaheim_candidate_50_ods,60,27,1.0
218,139,anaheim_candidate_50_ods,56,27,1.0
121,41,anaheim_candidate_50_ods,85,28,0.964286
412,185,anaheim_candidate_50_ods,84,28,0.964286
121,26,anaheim_candidate_50_ods,82,28,0.964286
217,258,anaheim_candidate_50_ods,72,28,0.964286
169,256,anaheim_candidate_50_ods,71,28,0.964286
210,67,anaheim_candidate_50_ods,68,28,0.964286
406,65,anaheim_candidate_50_ods,68,28,0.964286
172,69,anaheim_candidate_50_ods,66,28,0.964286
212,258,anaheim_candidate_50_ods,64,28,0.964286
217,266,anaheim_candidate_50_ods,64,28,0.964286
218,138,anaheim_candidate_50_ods,62,28,0.964286
391,77,anaheim_candidate_50_ods,61,28,0.964286
392,60,anaheim_candidate_50_ods,61,28,0.964286
392,137,anaheim_candidate_50_ods,61,28,0.964286
