origin,destination,source,LET,min_budget,score,path_length
386,245,existing_seed,373.813,376,0.842381,
203,374,existing_seed,137.514,137,0.828751,
297,245,existing_seed,356.199,358,0.822620,
436,374,existing_seed,123.433,122,0.780343,
454,374,existing_seed,178.352,177,0.773835,
213,295,existing_seed,259.390,257,0.756939,
389,295,existing_seed,249.649,245,0.740965,
464,295,existing_seed,204.690,201,0.731469,
464,245,existing_seed,301.578,302,0.666158,
297,374,existing_seed,156.474,156,0.665647,
2,245,existing_seed,673.174,675,0.665317,
67,701,existing_seed,257.213,257,0.656721,
475,245,existing_seed,258.341,260,0.653834,
84,374,existing_seed,313.192,313,0.639319,
303,245,existing_seed,674.115,676,0.635412,
447,295,existing_seed,189.490,188,0.623949,
510,967,existing_seed,204.137,204,0.623414,
378,295,existing_seed,185.490,183,0.592549,
663,701,existing_seed,105.165,103,0.551516,
335,295,existing_seed,293.689,293,0.528369,
508,967,barcelona_50_candidates,186.475,186,0.500647,
727,701,barcelona_50_candidates,111.230,109,0.493123,
697,701,barcelona_50_candidates,111.212,109,0.493121,
256,701,barcelona_50_candidates,245.271,246,0.473527,
429,295,barcelona_50_candidates,124.917,123,0.460492,
283,742,generated_structural_screen,417.402368,418,,41
434,650,generated_structural_screen,413.972565,414,,41
434,701,generated_structural_screen,413.978550,414,,41
667,280,generated_structural_screen,418.371719,419,,41
667,282,generated_structural_screen,419.176271,420,,41
437,652,generated_structural_screen,419.572561,420,,41
437,700,generated_structural_screen,418.773801,419,,41
437,707,generated_structural_screen,419.572662,420,,41
739,433,generated_structural_screen,419.743147,420,,41
274,742,generated_structural_screen,417.977013,418,,40
282,704,generated_structural_screen,419.347207,420,,40
282,735,generated_structural_screen,419.372169,420,,40
282,742,generated_structural_screen,415.577013,416,,40
282,751,generated_structural_screen,419.369357,420,,40
283,654,generated_structural_screen,410.772554,411,,40
283,702,generated_structural_screen,410.790476,411,,40
283,709,generated_structural_screen,409.972414,410,,40
283,740,generated_structural_screen,417.088370,418,,40
283,743,generated_structural_screen,410.792811,411,,40
360,652,generated_structural_screen,417.747207,418,,40
360,700,generated_structural_screen,416.948446,417,,40
360,707,generated_structural_screen,417.747308,418,,40
362,700,generated_structural_screen,419.802372,420,,40
425,654,generated_structural_screen,416.148917,417,,40
425,702,generated_structural_screen,416.166839,417,,40
