period,origin,destination
weekday_peak,302,295
weekday_peak,116,157
weekday_peak,4,157
weekday_peak,156,157
weekday_peak,133,157
weekday_peak,44,202
weekday_peak,99,202
weekday_peak,199,146
weekday_peak,163,146
weekday_peak,65,146
weekday_peak,102,146
weekday_peak,154,146
weekday_peak,143,146
weekday_offpeak,302,295
weekday_offpeak,75,202
weekday_offpeak,44,202
weekday_offpeak,99,202
weekday_offpeak,199,146
weekday_offpeak,163,146
weekday_offpeak,102,146
weekday_offpeak,202,146
weekday_offpeak,226,146
weekday_offpeak,38,146
weekday_offpeak,336,529
weekday_offpeak,313,529
weekday_offpeak,306,529
weekend_peak,242,295
weekend_peak,229,295
weekend_peak,116,157
weekend_peak,4,157
weekend_peak,27,157
weekend_peak,75,202
weekend_peak,65,146
weekend_peak,102,146
weekend_peak,154,146
weekend_peak,143,146
weekend_peak,226,146
weekend_peak,38,146
weekend_offpeak,242,295
weekend_offpeak,339,295
weekend_offpeak,229,295
weekend_offpeak,342,295
weekend_offpeak,222,157
weekend_offpeak,44,202
weekend_offpeak,199,146
weekend_offpeak,65,146
weekend_offpeak,154,146
weekend_offpeak,143,146
weekend_offpeak,226,146
weekend_offpeak,38,146
