period,origin,destination
weekday_peak,41,74
weekday_peak,42,58
weekday_peak,10,103
weekday_peak,26,111
weekday_peak,14,435
weekday_peak,9,189
weekday_peak,24,55
weekday_peak,29,87
weekday_peak,22,318
weekday_peak,11,80
weekday_peak,39,67
weekday_peak,38,5
weekday_peak,21,13
weekday_offpeak,15,748
weekday_offpeak,58,1840
weekday_offpeak,63,1245
weekday_offpeak,62,269
weekday_offpeak,42,1766
weekday_offpeak,31,145
weekday_offpeak,59,830
weekday_offpeak,10,659
weekday_offpeak,45,771
weekday_offpeak,43,756
weekday_offpeak,22,442
weekday_offpeak,64,415
weekday_offpeak,49,98
weekend_peak,16,48
weekend_peak,28,919
weekend_peak,23,228
weekend_peak,43,107
weekend_peak,8,71
weekend_peak,31,311
weekend_peak,22,250
weekend_peak,11,135
weekend_peak,42,270
weekend_peak,3,1122
weekend_peak,35,22
weekend_peak,29,1120
weekend_offpeak,46,474
weekend_offpeak,14,283
weekend_offpeak,71,842
weekend_offpeak,74,120
weekend_offpeak,57,734
weekend_offpeak,12,1821
weekend_offpeak,68,215
weekend_offpeak,34,1637
weekend_offpeak,8,711
weekend_offpeak,21,327
weekend_offpeak,55,426
weekend_offpeak,19,365
