origin,destination,LET,path_length,diversity_score,distance_level
46,74,30,10,0.8,short
1,399,33,10,0.8,short
394,146,33,11,0.818182,short
149,393,34,11,0.818182,short
397,412,34,10,0.9,short
78,395,36,12,0.75,short
413,164,37,10,0.8,short
150,166,38,12,0.75,short
540,138,38,11,0.909091,short
10,771,39,11,0.818182,short
649,322,40,10,0.8,short
744,48,42,10,0.8,short
583,182,43,13,0.769231,short
723,478,47,14,1.0,short
808,188,47,13,0.846154,short
403,375,50,14,0.714286,medium
336,340,51,10,0.3,medium
546,472,52,12,0.916667,medium
255,404,53,13,0.384615,medium
256,487,53,15,0.333333,medium
375,58,53,13,0.384615,medium
748,137,53,11,0.363636,medium
7,728,54,15,0.533333,medium
191,576,54,13,0.923077,medium
332,315,54,10,0.6,medium
875,522,55,14,0.285714,medium
183,237,56,16,0.3125,medium
335,185,57,12,0.333333,medium
389,129,57,13,0.384615,medium
802,535,57,15,0.333333,medium
2,182,58,17,0.470588,medium
366,383,58,10,0.4,medium
474,754,58,17,0.352941,medium
102,927,59,13,0.538462,medium
379,683,59,13,0.384615,medium
335,729,60,12,0.333333,medium
856,363,60,11,0.363636,medium
891,814,60,11,0.727273,medium
355,338,61,10,0.8,medium
723,332,61,13,0.461538,medium
392,875,63,14,0.714286,medium
365,335,64,12,0.666667,medium
870,382,65,10,0.6,medium
907,877,67,10,0.4,medium
518,343,68,11,0.727273,medium
878,713,72,16,0.5,medium
323,245,73,20,0.55,medium
326,253,73,19,0.578947,medium
354,382,77,12,0.583333,medium
343,930,79,12,0.666667,medium
