,From,To,Cost,Var
0,3,2,58.44137931034483,516.4482802251816
1,30,7,106.8571428571429,689.9306233278004
2,221,3,24.97530864197531,91.010972571953
3,116,4,18.02777777777778,29.53067382965899
4,2,117,23.85964912280702,89.5350330599431
5,7,8,60.0,194.87768833690902
6,8,10,60.0,488.38217944337356
7,7,9,104.0,543.3167433745983
8,8,9,104.0,816.9348674552091
9,10,11,104.0,909.9179526747172
10,9,11,104.0,894.2032640261447
11,12,13,2.0,0.34343336000657654
12,12,14,2.0,0.5130751677100839
13,13,15,2.0,0.41536451471731545
14,14,15,2.0,0.5209310468284143
15,18,221,50.0,263.0711842520918
16,19,17,50.0,299.0889614392142
17,21,18,43.0,91.30852875112298
18,21,20,43.0,199.65179436919908
19,20,22,43.0,86.50211395063462
20,22,19,43.0,102.75314985896055
21,17,23,10.0,4.378619547631201
22,23,18,32.0,61.63425714813644
23,22,23,32.0,126.9800142757734
24,2,24,20.66666666666667,59.1307791154873
25,24,21,164.0,2765.96514463541
26,24,25,84.0,381.5886971336894
27,25,6,84.0,999.643330315622
28,26,156,91.0,1095.223883091502
29,4,27,56.48,440.02569190522956
30,156,28,56.48,421.69883527998127
31,28,27,56.48,443.98920463463213
32,4,29,56.48,242.21846865316786
33,29,26,56.48,162.8009041192734
34,28,29,56.48,495.1647948406688
35,30,31,79.0,305.3751434420021
36,32,30,37.0,63.10362003684903
37,30,33,121.0,1475.3415052161213
38,33,34,6.0,2.4906980939413508
39,34,35,14.66666666666667,26.613534923715953
40,36,34,14.66666666666667,22.41459776369795
41,35,36,2.333333333333333,0.753794191602462
42,36,16,29.05882352941176,41.89280177159198
43,214,37,4.0,1.2379558371530937
44,59,42,60.0,390.5055109504778
45,45,44,39.0,117.38518558874608
46,39,46,27.0,60.89945309021713
47,46,55,27.0,36.54193919743113
48,54,43,27.0,92.61349261508087
49,54,46,13.57142857142857,11.017787777573739
50,48,155,13.57142857142857,13.78179597101398
51,47,154,13.57142857142857,8.910335784909437
52,48,47,1.0,0.08737066075431865
53,49,48,1.0,0.04924356716264033
54,50,49,1.0,0.05850479744798114
55,50,51,1.0,0.06473529466281122
56,49,52,1.0,0.11815770904882233
57,51,52,1.0,0.04738703201045592
58,166,59,1.0,0.10906891386548521
59,166,53,35.0,92.54375110093596
60,54,55,35.0,121.76662842669235
61,55,147,13.2,21.60542540379639
62,147,111,13.2,8.551374036929033
63,42,57,13.2,24.209341382453246
64,59,58,13.2,24.709995869004672
65,42,58,13.2,19.602375198891693
66,61,176,152.0,1729.8718659838094
67,61,60,152.0,2807.491729921748
68,60,176,152.0,1303.7321933932676
69,62,63,152.0,1059.3310154245437
70,64,62,152.0,3099.5480472808504
71,65,63,152.0,1684.9871557736028
72,64,65,152.0,1993.5601285992934
73,66,67,152.0,1343.5966239965835
74,67,68,152.0,3654.745984959196
75,66,69,152.0,2203.615049396938
76,69,68,152.0,3288.287146423823
77,70,71,22.0,22.583921199710417
78,70,72,22.0,69.88124923230997
79,71,73,22.0,69.4542396650776
80,72,73,22.0,24.87361817748428
81,74,75,22.0,30.38896461799424
82,75,76,22.0,71.09593704248623
83,74,77,22.0,68.74917384495326
84,77,76,22.0,70.0578818386253
85,71,78,27.5,102.85912616317562
86,78,79,27.5,42.90036844103411
87,79,74,43.375,133.03305359700005
88,80,77,35.2,171.77533984301218
89,79,80,1.0,0.07844898234320895
90,78,81,1.0,0.07085834397419818
91,73,81,28.125,71.43040591079449
92,81,80,1.0,0.05414603111318823
93,82,61,1.0,0.0707381913151874
94,83,82,1.0,0.04397975275898441
95,83,109,1.0,0.061211730727721084
96,82,110,1.0,0.0425678018925864
97,110,176,45.0,96.63867747490089
98,68,109,68.0,556.0928046780678
99,67,83,84.5,733.2729810141644
100,40,84,44.125,301.8396245936164
101,85,223,44.125,134.17988987040314
102,224,85,1.0,0.12435256589102853
103,73,87,440.0,12060.78354229526
104,86,87,440.0,22707.11457219498
105,88,89,1.0,0.06408951586182826
106,88,66,49.5,104.4723797503032
107,89,67,54.2,182.25872316656142
108,86,88,54.2,162.80132433446929
109,87,89,6.0,4.457798462303085
110,81,90,39.8,69.57688662414976
111,91,92,39.8,80.05334610096041
112,80,93,265.75,5655.838561232172
113,90,93,1.0,0.0704802550147393
114,90,91,1.0,0.13870728579918665
115,92,82,31.0,88.93665458586217
116,93,92,31.0,134.6443407651854
117,77,94,60.0,219.75445225818774
118,93,94,37.29411764705883,114.98244126282547
119,76,95,38.0,166.6812141722729
120,94,95,38.0,144.03283074724217
121,96,97,1.0,0.11777202760315063
122,96,61,35.0,188.70906690728205
123,94,96,35.0,191.3522716024829
124,97,60,49.0,131.63033362796824
125,95,97,49.0,355.9684649969332
126,98,99,1.0,0.07715347080302452
127,100,101,1.0,0.07849931858515014
128,98,100,1.0,0.14135625736204727
129,100,64,118.0,1217.5878251118581
130,101,62,118.0,633.3760569063302
131,99,101,4.0,1.5489099968192142
132,173,56,4.0,1.8841198896178963
133,44,102,5.875,2.5391563175006127
134,154,103,2.0,0.16567604429718946
135,102,103,2.0,0.6064787283792702
136,149,38,43.66666666666666,135.14767197745607
137,153,149,29.0,128.3826965530897
138,190,143,29.0,91.17766685019859
139,143,105,29.0,120.25736593504267
140,105,149,29.0,54.088700436714866
141,190,106,43.0,275.85342677364605
142,106,153,18.0,44.545179887610026
143,106,105,18.0,46.67357290335642
144,58,107,18.0,14.872229307147032
145,53,108,41.75,276.203095472598
146,109,110,70.0,345.58285141917804
147,43,172,70.0,403.8292064425913
148,172,173,70.0,350.7813893788989
149,112,53,24.9,36.74399942776757
150,113,112,24.9,30.449654197685184
151,114,113,24.78947368421053,50.1364826232418
152,206,115,182.1212121212121,2286.7030355969523
153,115,114,182.1212121212121,3986.8056198029735
154,13,224,34.25,134.62669747879778
155,14,70,39.85714285714285,96.8317100918392
156,10,70,59.5,386.6778084367663
157,11,71,47.66666666666666,340.3543644735479
158,26,119,18.5,31.11568183088618
159,119,118,18.5,49.913186667267844
160,116,117,1.285714285714286,0.07255549381746317
161,119,120,36.5,98.00251400657125
162,120,116,71.92857142857143,239.96820124807118
163,118,121,17.0,22.322554521791314
164,121,117,186.4285714285714,1849.9125994269343
