,Unnamed: 0,From,To,Cost,Var
0,0,3,2,44.928744620685315,191.26823171273205
1,1,30,7,102.42733141281457,828.9503027447201
2,2,221,3,17.58042042071566,17.222370057924064
3,3,116,4,17.351628574445115,25.21313107347253
4,4,2,117,17.353019740286445,23.473985116445316
5,5,7,8,59.581172644525545,236.5989807938814
6,6,8,10,57.18334183623341,501.1345753235276
7,7,7,9,112.97007896693904,541.541818037232
8,8,8,9,79.6223988023147,720.1607566020746
9,9,10,11,112.96963681871775,1875.4588945534376
10,10,9,11,93.30807541569946,454.72873021061383
11,11,12,13,1.5182887554667535,0.14505426500995203
12,12,12,14,1.4382912505888643,0.1225459749722797
13,13,13,15,1.5048120293673417,0.26510604000529137
14,14,14,15,1.5146976699683687,0.2064178651982221
15,15,18,221,48.03178492228498,104.6650361295746
16,16,19,17,46.954806509192245,114.94577285337814
17,17,21,18,31.51955145536089,81.24804357388015
18,18,21,20,30.57173469649493,113.87645894794568
19,19,20,22,34.1646356673676,142.1084571962317
20,20,22,19,41.22731301634823,239.99417964398626
21,21,17,23,7.176015614843587,7.3413279897348955
22,22,23,18,33.92607493117737,125.60168988109322
23,23,22,23,29.78944298005604,80.6509764700844
24,24,2,24,22.54899156823519,38.33734245487093
25,25,24,21,135.1376402665158,2825.3214579311634
26,26,24,25,83.9179529318745,500.5386184819918
27,27,25,6,61.76112819897498,262.6540996083551
28,28,26,156,78.20517106858878,667.197180281543
29,29,4,27,51.3880907307964,215.42279804697736
30,30,156,28,59.313240395144014,519.4484636266199
31,31,28,27,41.00153911878484,248.30592935465214
32,32,4,29,57.5614058996782,478.430117684086
33,33,29,26,58.497162269334524,368.4786337727731
34,34,28,29,47.53133671019575,94.0851330099653
35,35,30,31,62.6166734780583,508.93770943604574
36,36,32,30,33.90882962475925,99.76462495093787
37,37,30,33,118.36002611675544,1744.5178053713717
38,38,33,34,6.173725209217231,4.257013219113423
39,39,34,35,13.558241253642434,16.86828650284796
40,40,36,34,13.319737913082625,25.076507810486422
41,41,35,36,2.3297489249649765,0.24374587287532057
42,42,36,16,31.49104894246009,140.8045620047146
43,43,214,37,3.1480738465765135,0.870346129807362
44,44,59,42,42.16465462627914,271.3396822415411
45,45,45,44,33.052361099249026,95.36766458960886
46,46,39,46,20.7932881076047,68.95987652381763
47,47,46,55,25.6719945392781,70.03207773612492
48,48,54,43,27.057455987635045,47.26504606382378
49,49,54,46,11.179153288620233,13.441832354393469
50,50,48,155,14.338207699282941,29.440085591861397
51,51,47,154,11.267845670772301,8.6506704811083
52,52,48,47,0.861923451248872,0.04358160004991046
53,53,49,48,1.0310268552398383,0.16727387877438915
54,54,50,49,0.8707214131382337,0.06224184540113556
55,55,50,51,0.7151480978691485,0.07318289959936602
56,56,49,52,0.7490426552231252,0.08764390592190334
57,57,51,52,1.042390826613033,0.11223314190396415
58,58,166,59,0.7373493928950519,0.04317939175249004
59,59,166,53,33.80648107494321,173.0273380351048
60,60,54,55,37.3870608298379,195.31644799599604
61,61,55,147,14.254846381604924,31.532812523533586
62,62,147,111,13.197690605734502,17.89090721602966
63,63,42,57,10.421302866603554,13.97321920300037
64,64,59,58,14.009033234502244,13.941576163850925
65,65,42,58,14.123303243010994,12.74122032392553
66,66,61,176,110.6975134080817,893.3356906526124
67,67,61,60,120.47950901475792,1107.406989534748
68,68,60,176,118.52670923234746,679.0386685914543
69,69,62,63,129.3314191831388,952.927991734319
70,70,64,62,128.81050396022616,1023.9063453248996
71,71,65,63,162.7334515028203,2725.2567422884836
72,72,64,65,127.3237644413683,2209.550598421692
73,73,66,67,160.3001855577946,2689.803456961432
74,74,67,68,156.30113149703658,1754.4500216258702
75,75,66,69,111.01617254167623,717.6940282318232
76,76,69,68,157.78109961596513,1298.3539024917
77,77,70,71,22.248168851303,70.84958923601327
78,78,70,72,16.641893672229195,37.588813087234634
79,79,71,73,21.08937629197771,30.42355611845503
80,80,72,73,20.887666583158218,24.47265056472289
81,81,74,75,17.798878102586343,14.879010993559843
82,82,75,76,19.553247990105646,41.04161360261689
83,83,74,77,21.214774312367314,29.20652031569749
84,84,77,76,22.45252980068919,31.109635476731825
85,85,71,78,30.230780591824384,62.67172327747417
86,86,78,79,21.39553467312223,66.66395445368944
87,87,79,74,35.9654882289718,59.76105305214848
88,88,80,77,24.990948431476184,72.91245505506814
89,89,79,80,0.9821717226608133,0.09348075082647075
90,90,78,81,0.8476490656566266,0.03834085591883088
91,91,73,81,29.209186472288042,109.963966824655
92,92,81,80,0.7260091704349061,0.03888388117446919
93,93,82,61,0.9013976853230623,0.12344554198534807
94,94,83,82,0.8808672916138889,0.09605219798833066
95,95,83,109,0.8349389116087691,0.062134482948845576
96,96,82,110,0.8270187454673921,0.05599564527614806
97,97,110,176,43.74512383925053,186.93158449773628
98,98,68,109,66.57715676830551,556.4235887872074
99,99,67,83,77.10371958789526,607.7857587153943
100,100,40,84,45.484003175206674,113.88675601604366
